key,country,classification,common_name_french_CM_doc,common_name_english_CM_doc,scientific_name_CM_doc,scientific_name_CM_final,category,common_name_french_wikipedia,common_name_french_IUCN,Fr_common_name_display_CM_final,common_name_prov,comment,scientific_name_label,document_title,date_of_law,source_document,source_type,source_link,source_accessed
1,CM,A,Anomalure de Beecroft,Beecroft's flying squirrel,Anomalurops beecrofti,Anomalurus beecrofti,LC,"Anomalure de Beecroft, Écureuil volant de Beecroft","Anamolure De Beecroft, Écureuil Volant De Beecroft",Anomalure de Beecroft,IUCN,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
2,CM,A,Caracal,Caracal,Felis caracal,Caracal caracal,LC,Caracal,Lynx Du Désert,Lynx Du Désert,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
3,CM,A,Cercocèbe agile,Agile mangabey,Cercocebus agilis,Cercocebus agilis,LC,,Mangabé agile,Mangabé agile,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
4,CM,A,Cercopithèque de brazza,De Brazza's Monkey,Cercopithecus neglectus,Cercopithecus neglectus,LC,"Cercopithèque de Brazza, singe de Brazza",Cercopithèque de Brazza,Cercopithèque de Brazza,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
5,CM,A,Cercopithèque de l'Hoest,Hoest Monkey,Cercopithecus l'hoesti,Allochrocebus lhoesti,VU,Cercopithèque de l'Hœst,Cercopithèque de l'Hoest,Cercopithèque de l'Hoest,IUCN,"by IUCN, also re-classified in 2013",Not extant in country && Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
6,CM,A,Cercopithèque de Preuss,"Preuss's Guenon, Preuss's Monkey, Preusss Monkey",Cercopithecus preussi,Allochrocebus preussi,EN,,Cercopithèque de Preuss,Cercopithèque de Preuss,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
7,CM,A,"Chat Doré, Chat Doré Africain","African Golden Cat, Golden Cat",Felis aurata,Caracal aurata,VU,chat doré africain,"Chat doré, Chat doré Africain",Chat doré Africain,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
8,CM,A,Chevrotain aquatique,Water chevrotain,Hyemoschus aquaticus,Hyemoschus aquaticus,LC,Chevrotain aquatique,Chevrotain aquatique,Chevrotain aquatique,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
9,CM,A,Chimpanzé,Chimpanzee,Pan troglodytus,Pan troglodytes ssp. ellioti,EN,Chimpanzé du Nigeria,N/A,Chimpanzé du Nigeria,FrWiki,,Refined to subspecies,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
10,CM,A,Chimpanzé,Chimpanzee,Pan troglodytus,Pan troglodytes ssp. troglodytes,EN,"Chimpanzé central, Chimpanzé d'Afrique centrale, Tschego",N/A,Chimpanzé central,FrWiki,,Additional species or subspecies extant in country,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
11,CM,A,Colobe à manteau blanc,Eastern balck and white colobus,Colobus guereza,Colobus guereza,LC,"Colobe guéréza, guéréza du Kilimandjaro","Colobe de l'Abyssinie, Colobe guéréza, Colobe à épaules blanches",Colobe de l'Abyssinie,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
12,CM,A,Colobe noir,Black colobus,Colobus satanas,Colobus satanas ssp. anthracinus,VU,,"Colobe satan, Colobe noir",Colobe noir,IUCN,"by IUCN, the remaining, nominate subspecies Colobus satanas satanas not extant in CMR",Refined to subspecies,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
13,CM,A,Damalisque,"Topi, Tsessebe",Damaliscus lunatus korrigum.,Damaliscus lunatus ssp. korrigum,LC,"Sassabi, Tsessebe","Damalisque, Korrigum, Sassaby, Topi",Damalisque,IUCN,"by IUCN, only the subspecies korrigum (EN) is extant in CMR; jimela, lunatus, superstes, tiang, and topi are not",Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
14,CM,A,Drill,Drill,Mandrillus leucophaeus,Mandrillus leucophaeus,EN,,Drill,Drill,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
15,CM,A,Éléphant de forêt d'Afrique,African Forest Elephant,Loxodonta cyclotis,Loxodonta cyclotis,CR,Éléphant de forêt d'Afrique,Éléphant de forêt,Éléphant de forêt,IUCN,"From entry in National Law: ""protection classed by tusk size""",Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
16,CM,A,Éléphant de savane d'Afrique,African Bush Elephant,Loxodonta africana,Loxodonta africana,EN,Éléphant de savane d'Afrique,"Éléphant Africain, Éléphant d'Afrique",Éléphant Africain,IUCN,"From entry in National Law: ""protection classed by tusk size""",Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
17,CM,A,Galago d'Allen,Allen's bush baby,Galago alleni,Sciurocheirus alleni,NT,Galago d'Allen,Galago d'Allen,Galago d'Allen,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
18,CM,A,Gazelle à front roux,Red-fronted gazelle,Gazella rufifrons / Eudorcas rufifrons ?,Eudorcas rufifrons,VU,Gazelle à front roux,N/A,Gazelle à front roux,FrWiki,"by IUCN, Gazella rufifrons may apply to either Eudorcas rufifrons or Eudorcas tilonura, bot only the former is extant in CMR",Resolved from multiple species names,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
19,CM,A,Girafe,Giraffe,Giraffa camelopardalis,Giraffa camelopardalis,VU,Girafe,Girafe,Girafe,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
20,CM,A,Gorille,Gorilla,Gorilla gorilla,Gorilla gorilla ssp. gorilla,CR,"Gorille des plaines de l’Ouest, gorille des plaines occidentales",N/A,Gorille des plaines de l'Ouest,FrWiki,"by IUCN, both the nominate and diehli subspecies are extant in CM",Refined to subspecies,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
21,CM,A,Gorille,Gorilla,Gorilla gorilla,Gorilla gorilla ssp. diehli,CR,Gorille de la rivière Cross,N/A,Gorille de la rivière Cross,FrWiki,"by IUCN, both the nominate and diehli subspecies are extant in CM",Additional species or subspecies extant in country,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
22,CM,A,Guépard,"Cheetah, Hunting Leopard",Ancinonyx jubatus,Acinonyx jubatus,VU,guépard,Guépard,Guépard,IUCN,"by IUCN, extinct in CM, no date given",Extinct in country && Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
