scientific_name,Common Name,Species Class,Threat Class
Acinonyx jubatus,Cheetah,MAMMALIA,VU
Aepyceros melampus,Impala,MAMMALIA,LC
Aethomys hindei,Hinde's Rock Rat,MAMMALIA,LC
Aethomys kaiseri,Kaiser's Rock Rat,MAMMALIA,LC
Aethomys stannarius,Tinfields Rock Rat,MAMMALIA,DD
Alcelaphus buselaphus,Hartebeest,MAMMALIA,LC
Alcelaphus buselaphus ssp. lelwel,Lelwel Hartebeest,MAMMALIA,EN
Alcelaphus buselaphus ssp. major,Western Hartebeest,MAMMALIA,VU
Allenopithecus nigroviridis,Allen's Swamp Monkey,MAMMALIA,LC
Anomalurus derbianus,Lord Derby's Scaly-tailed Squirrel,MAMMALIA,LC
Anomalurus pusillus,Dwarf Scaly-tailed Squirrel,MAMMALIA,LC
Aonyx capensis,African Clawless Otter,MAMMALIA,NT
Aonyx congicus,Congo Clawless Otter,MAMMALIA,NT
Arctocebus aureus,Golden Angwantibo,MAMMALIA,LC
Arctocebus calabarensis,Calabar Angwantibo,MAMMALIA,NT
Arctocephalus pusillus,Afro-Australian Fur Seal,MAMMALIA,LC
Arctocephalus pusillus ssp. pusillus,Cape Fur Seal,MAMMALIA,LC
Arvicanthis niloticus,African Grass Rat,MAMMALIA,LC
Atherurus africanus,African Brush-tailed Porcupine,MAMMALIA,LC
Balaenoptera edeni,Bryde's Whale,MAMMALIA,LC
Canis adustus,Side-striped Jackal,MAMMALIA,LC
Caracal caracal,Caracal,MAMMALIA,LC
Casinycteris argynnis,Short-palated Fruit Bat,MAMMALIA,LC
Cephalophus callipygus,Peters' Duiker,MAMMALIA,LC
Cephalophus dorsalis,Bay Duiker,MAMMALIA,NT
Cephalophus leucogaster,White-bellied Duiker,MAMMALIA,NT
Philantomba monticola,Blue Duiker,MAMMALIA,LC
Cephalophus nigrifrons,Black-fronted Duiker,MAMMALIA,LC
Cephalophus ogilbyi,Ogilby's Duiker,MAMMALIA,LC
Cephalophus rufilatus,Red-flanked Duiker,MAMMALIA,LC
Cephalophus silvicultor,Yellow-backed Duiker,MAMMALIA,NT
Cephalophus weynsi,Weyns's Duiker,MAMMALIA,LC
Cephalophus ogilbyi ssp. crusalbum,White-legged Duiker,MAMMALIA,NT
Ceratotherium simum ssp. cottoni,Northern White Rhino,MAMMALIA,CR
Ceratotherium simum,White Rhino,MAMMALIA,NT
Cercocebus torquatus,Red-capped Mangabey,MAMMALIA,EN
Cercocebus chrysogaster,Golden-bellied Mangabey,MAMMALIA,DD
Cercopithecus ascanius,Red-tailed Monkey,MAMMALIA,LC
Cercopithecus cephus,Moustached Monkey,MAMMALIA,LC
Cercopithecus dryas,Dryas Monkey,MAMMALIA,EN
Cercopithecus erythrotis,Red-eared Monkey,MAMMALIA,VU
Cercopithecus hamlyni,Owl-faced Monkey,MAMMALIA,VU
Allochrocebus lhoesti,L'Hoest's Monkey,MAMMALIA,VU
Cercopithecus mitis,Blue Monkey,MAMMALIA,LC
Cercopithecus mona,Mona Monkey,MAMMALIA,LC
Cercopithecus neglectus,De Brazza’s Monkey,MAMMALIA,LC
Cercopithecus nictitans,Putty-nosed Monkey,MAMMALIA,NT
Allochrocebus preussi,Preuss’s Monkey,MAMMALIA,EN
Allochrocebus solatus,Sun-tailed Monkey,MAMMALIA,NT
Cercopithecus erythrotis ssp. erythrotis,Bioko Red-eared Monkey,MAMMALIA,VU
Allochrocebus preussi ssp. insularis,Bioko Preuss’s Monkey,MAMMALIA,EN
Cercopithecus pogonias ssp. pogonias,Golden-bellied Crowned Monkey,MAMMALIA,VU
Allochrocebus preussi ssp. preussi,Cameroon Preuss’s Monkey,MAMMALIA,EN
Chaerephon aloysiisabaudiae,Duke of Abruzzi's Wrinkle-lipped Bat,MAMMALIA,LC
Chaerephon ansorgei,Ansorge's Wrinkle-lipped Bat,MAMMALIA,LC
Chaerephon bemmeleni,Gland-tailed Wrinkle-lipped Bat,MAMMALIA,LC
Chaerephon chapini,Long-crested Free-tailed Bat,MAMMALIA,LC
Chaerephon gallagheri,Gallagher's Wrinkle-lipped Bat,MAMMALIA,DD
Chaerephon major,Large Wrinkle-lipped Bat,MAMMALIA,LC
Chaerephon nigeriae,Nigerian Free-tailed Bat,MAMMALIA,LC
Chaerephon russatus,Russet Wrinkle-lipped Bat,MAMMALIA,DD
Chelonia mydas,Green Turtle,REPTILIA,EN
Cloeotis percivali,Percival's Trident Bat,MAMMALIA,LC
Coleura afra,African Sheath-tailed Bat,MAMMALIA,LC
Colobus angolensis,Angolan Colobus,MAMMALIA,LC
Colobus guereza,Guereza,MAMMALIA,LC
Colobus satanas,Black Colobus,MAMMALIA,VU
Congosorex polli,Greater Congo Shrew,MAMMALIA,DD
Conraua goliath,Giant Slippery Frog,AMPHIBIA,EN
Crocidura eisentrauti,Eisentraut's Shrew,MAMMALIA,VU
Crocidura kivuana,Kivu Shrew,MAMMALIA,NT
Crocidura lanosa,Lemara Shrew,MAMMALIA,VU
