taxonid,scientific_name,subspecies,rank,subpopulation,category,country,Common Name,Species Class,Threat Class
219,Acinonyx jubatus,,,,VU,,Cheetah,MAMMALIA,VU
571,Aethomys hindei,,,,LC,,Hinde's Rock Rat,MAMMALIA,LC
572,Aethomys kaiseri,,,,LC,,Kaiser's Rock Rat,MAMMALIA,LC
811,Alcelaphus buselaphus,,,,LC,,Hartebeest,MAMMALIA,LC
816,Alcelaphus buselaphus ssp. lelwel,lelwel,ssp.,,EN,,Lelwel Hartebeest,MAMMALIA,EN
865,Allenopithecus nigroviridis,,,,LC,,Allen's Swamp Monkey,MAMMALIA,LC
1550,Anomalurus derbianus,,,,LC,,Lord Derby's Scaly-tailed Squirrel,MAMMALIA,LC
1553,Anomalurus pusillus,,,,LC,,Dwarf Scaly-tailed Squirrel,MAMMALIA,LC
1793,Aonyx capensis,,,,NT,,African Clawless Otter,MAMMALIA,NT
1794,Aonyx congicus,,,,NT,,Congo Clawless Otter,MAMMALIA,NT
2147,Arvicanthis niloticus,,,,LC,,African Grass Rat,MAMMALIA,LC
2353,Atherurus africanus,,,,LC,,African Brush-tailed Porcupine,MAMMALIA,LC
2476,Balaenoptera edeni,,,,LC,,Bryde's Whale,MAMMALIA,LC
3753,Canis adustus,,,,LC,,Side-striped Jackal,MAMMALIA,LC
3847,Caracal caracal,,,,LC,,Caracal,MAMMALIA,LC
3999,Casinycteris argynnis,,,,LC,,Short-palated Fruit Bat,MAMMALIA,LC
4139,Cephalophus dorsalis,,,,NT,,Bay Duiker,MAMMALIA,NT
4141,Cephalophus leucogaster,,,,NT,,White-bellied Duiker,MAMMALIA,NT
4143,Philantomba monticola,,,,LC,,Blue Duiker,MAMMALIA,LC
4146,Cephalophus nigrifrons,,,,LC,,Black-fronted Duiker,MAMMALIA,LC
4149,Cephalophus rufilatus,,,,LC,,Red-flanked Duiker,MAMMALIA,LC
4150,Cephalophus silvicultor,,,,NT,,Yellow-backed Duiker,MAMMALIA,NT
4152,Cephalophus weynsi,,,,LC,,Weyns's Duiker,MAMMALIA,LC
4183,Ceratotherium simum ssp. cottoni,cottoni,ssp.,,CR,,Northern White Rhino,MAMMALIA,CR
4185,Ceratotherium simum,,,,NT,,White Rhino,MAMMALIA,NT
4207,Cercocebus chrysogaster,,,,DD,,Golden-bellied Mangabey,MAMMALIA,DD
4212,Cercopithecus ascanius,,,,LC,,Red-tailed Monkey,MAMMALIA,LC
4214,Cercopithecus cephus,,,,LC,,Moustached Monkey,MAMMALIA,LC
4216,Cercopithecus dryas,,,,EN,,Dryas Monkey,MAMMALIA,EN
4219,Cercopithecus hamlyni,,,,VU,,Owl-faced Monkey,MAMMALIA,VU
4220,Allochrocebus lhoesti,,,,VU,,L'Hoest's Monkey,MAMMALIA,VU
4221,Cercopithecus mitis,,,,LC,,Blue Monkey,MAMMALIA,LC
4223,Cercopithecus neglectus,,,,LC,,De Brazza’s Monkey,MAMMALIA,LC
4224,Cercopithecus nictitans,,,,NT,,Putty-nosed Monkey,MAMMALIA,NT
4305,Chaerephon aloysiisabaudiae,,,,LC,,Duke of Abruzzi's Wrinkle-lipped Bat,MAMMALIA,LC
4306,Chaerephon ansorgei,,,,LC,,Ansorge's Wrinkle-lipped Bat,MAMMALIA,LC
4307,Chaerephon bemmeleni,,,,LC,,Gland-tailed Wrinkle-lipped Bat,MAMMALIA,LC
4310,Chaerephon chapini,,,,LC,,Long-crested Free-tailed Bat,MAMMALIA,LC
4311,Chaerephon gallagheri,,,,DD,,Gallagher's Wrinkle-lipped Bat,MAMMALIA,DD
4314,Chaerephon major,,,,LC,,Large Wrinkle-lipped Bat,MAMMALIA,LC
4315,Chaerephon nigeriae,,,,LC,,Nigerian Free-tailed Bat,MAMMALIA,LC
4319,Chaerephon russatus,,,,DD,,Russet Wrinkle-lipped Bat,MAMMALIA,DD
4983,Cloeotis percivali,,,,LC,,Percival's Trident Bat,MAMMALIA,LC
5113,Coleura afra,,,,LC,,African Sheath-tailed Bat,MAMMALIA,LC
5142,Colobus angolensis,,,,LC,,Angolan Colobus,MAMMALIA,LC
5143,Colobus guereza,,,,LC,,Guereza,MAMMALIA,LC
5221,Congosorex polli,,,,DD,,Greater Congo Shrew,MAMMALIA,DD
5568,Crocidura kivuana,,,,NT,,Kivu Shrew,MAMMALIA,NT
5569,Crocidura lanosa,,,,VU,,Lemara Shrew,MAMMALIA,VU
5591,Crocidura polia,,,,DD,,Fuscous Shrew,MAMMALIA,DD
5660,Mecistops cataphractus,,,,CR,,Slender-snouted Crocodile,REPTILIA,CR
5674,Crocuta crocuta,,,,LC,,Spotted Hyaena,MAMMALIA,LC
5756,Fukomys mechowii,,,,LC,,Mechow's Mole Rat,MAMMALIA,LC
5757,Fukomys ochraceocinereus,,,,LC,,Ochre Mole Rat,MAMMALIA,LC
6235,Damaliscus lunatus,,,,LC,,Topi,MAMMALIA,LC
6241,Damaliscus lunatus ssp. jimela,jimela,ssp.,,VU,,Topi,MAMMALIA,VU
6313,Delanymys brooksi,,,,VU,,Delany's Swamp Mouse,MAMMALIA,VU
6409,Dendrohyrax arboreus,,,,LC,,Southern Tree Hyrax,MAMMALIA,LC
6410,Dendrohyrax dorsalis,,,,LC,,Western Tree Hyrax,MAMMALIA,LC
6439,Dendromus kahuziensis,,,,CR,,Mt. Kahuzi Climbing Mouse,MAMMALIA,CR
6494,Dermochelys coriacea,,,,VU,,Leatherback,REPTILIA,VU
6557,Diceros bicornis,,,,CR,,Black Rhino,MAMMALIA,CR
7084,Eidolon helvum,,,,NT,,African Straw-coloured Fruit-bat,MAMMALIA,NT
7903,Epomophorus gambianus,,,,LC,,Gambian Epauletted Fruit Bat,MAMMALIA,LC
7906,Epomophorus wahlbergi,,,,LC,,Wahlberg's Epauletted Fruit Bat,MAMMALIA,LC
7908,Epomops dobsonii,,,,LC,,Dobson's Fruit Bat,MAMMALIA,LC
8073,Erythrocebus patas,,,,LC,,Patas Monkey,MAMMALIA,LC
8551,Feresa attenuata,,,,LC,,Pygmy Killer Whale,MAMMALIA,LC
8787,Galago matschiei,,,,LC,,Spectacled Lesser Galago,MAMMALIA,LC
8788,Galago moholi,,,,LC,,Southern Lesser Galago,MAMMALIA,LC
8789,Galago senegalensis,,,,LC,,Northern Lesser Galago,MAMMALIA,LC
9194,Giraffa camelopardalis,,,,VU,,Giraffe,MAMMALIA,VU
9249,Globicephala macrorhynchus,,,,LC,,Short-finned Pilot Whale,MAMMALIA,LC
9454,Grammomys dolichurus,,,,LC,,Woodland Thicket Rat,MAMMALIA,LC
9455,Grammomys dryas,,,,LC,,Forest Thicket Rat,MAMMALIA,LC
9483,Graphiurus kelleni,,,,LC,,Kellen's Dormouse,MAMMALIA,LC
9493,Graphiurus surdus,,,,DD,,Silent Dormouse,MAMMALIA,DD
9828,Heliophobius argenteocinereus,,,,LC,,Silvery Mole Rat,MAMMALIA,LC
9830,Heliosciurus gambianus,,,,LC,,Gambian Sun Squirrel,MAMMALIA,LC
9833,Heliosciurus rufobrachium,,,,LC,,Red-legged Sun Squirrel,MAMMALIA,LC
9997,Heterohyrax brucei,,,,LC,,Bush Hyrax,MAMMALIA,LC
10103,Hippopotamus amphibius,,,,VU,,Hippopotamus,MAMMALIA,VU
10109,Hipposideros abae,,,,LC,,Aba Roundleaf Bat,MAMMALIA,LC
10112,Hipposideros beatus,,,,LC,,Benito Roundleaf Bat,MAMMALIA,LC
10115,Hipposideros caffer,,,,LC,,Sundevall's Roundleaf Bat,MAMMALIA,LC
10117,Hipposideros camerunensis,,,,DD,,Greater Roundleaf Bat,MAMMALIA,DD
10126,Hipposideros cyclops,,,,LC,,Cyclops Roundleaf Bat,MAMMALIA,LC
10134,Hipposideros fuliginosus,,,,LC,,Sooty Roundleaf Bat,MAMMALIA,LC
10157,Hipposideros ruber,,,,LC,,Noack's Roundleaf Bat,MAMMALIA,LC
10167,Hippotragus equinus,,,,LC,,Roan Antelope,MAMMALIA,LC
10170,Hippotragus niger,,,,LC,,Sable Antelope,MAMMALIA,LC
10280,Hybomys lunaris,,,,VU,,Moon Striped Mouse,MAMMALIA,VU
10341,Hyemoschus aquaticus,,,,LC,,Water Chevrotain,MAMMALIA,LC
10592,Hylomyscus parvus,,,,LC,,Little Wood Mouse,MAMMALIA,LC
10593,Hylomyscus aeta,,,,LC,,Beaded Wood Mouse,MAMMALIA,LC
10734,Hypsignathus monstrosus,,,,LC,,Hammer-headed Fruit Bat,MAMMALIA,LC
10794,Idiurus macrotis,,,,LC,,Long-eared Scaly-tailed Flying Squirrel,MAMMALIA,LC
10796,Idiurus zenkeri,,,,LC,,Pygmy Scaly-tailed Flying Squirrel,MAMMALIA,LC
10977,Kerivoula lanosa,,,,LC,,Lesser Woolly Bat,MAMMALIA,LC
11003,Kinixys homeana,,,,VU,,Home's Hinge-back Tortoise,REPTILIA,VU
11033,Kobus leche,,,,NT,,Southern Lechwe,MAMMALIA,NT
11035,Kobus ellipsiprymnus,,,,LC,,Waterbuck,MAMMALIA,LC
11036,Kobus kob,,,,LC,,Kob,MAMMALIA,LC
11037,Kobus vardonii,,,,NT,,Puku,MAMMALIA,NT
11040,Kobus ellipsiprymnus ssp. defassa,defassa,ssp.,,NT,,Defassa Waterbuck,MAMMALIA,NT
11047,Kogia breviceps,,,,DD,,Pygmy Sperm Whale,MAMMALIA,DD
11048,Kogia sima,,,,DD,,Dwarf Sperm Whale,MAMMALIA,DD
11378,Lavia frons,,,,LC,,Yellow-winged Bat,MAMMALIA,LC
11638,Leptailurus serval,,,,LC,,Serval,MAMMALIA,LC
12309,Lophocebus albigena,,,,VU,,Grey-cheeked Mangabey,MAMMALIA,VU
12310,Lophocebus aterrimus,,,,VU,,Black Mangabey,MAMMALIA,VU
12311,Lophocebus aterrimus ssp. opdenboschi,opdenboschi,ssp.,,VU,,Southern Black Crested Mangabey,MAMMALIA,VU
12350,Lophuromys medicaudatus,,,,VU,,Medium-tailed Brush-furred Rat,MAMMALIA,VU
12352,Lophuromys rahmi,,,,NT,,Rahm's Brush-furred Rat,MAMMALIA,NT
12356,Lophuromys sikapusi,,,,LC,,Rusty-bellied Brush-furred Rat,MAMMALIA,LC
12392,Loxodonta africana,,,,VU,,African Elephant,MAMMALIA,VU
12420,Hydrictis maculicollis,,,,NT,,Spotted-necked Otter,MAMMALIA,NT
12436,Lycaon pictus,,,,EN,,African Wild Dog,MAMMALIA,EN
12704,Malacomys longipes,,,,LC,,Big-eared Swamp Rat,MAMMALIA,LC
12762,Smutsia gigantea,,,,EN,,Giant Ground Pangolin,MAMMALIA,EN
12766,Phataginus tetradactyla,,,,VU,,Black-bellied Pangolin,MAMMALIA,VU
12767,Phataginus tricuspis,,,,EN,,White-bellied Pangolin,MAMMALIA,EN
12866,Mastomys erythroleucus,,,,LC,,Guinea Multimammate Mouse,MAMMALIA,LC
13006,Megaptera novaeangliae,,,,LC,,Humpback Whale,MAMMALIA,LC
13394,Micropotamogale ruwenzorii,,,,LC,,Rwenzori Otter Shrew,MAMMALIA,LC
13401,Micropteropus intermedius,,,,DD,,Hayman's Lesser Epauletted Fruit Bat,MAMMALIA,DD
13402,Micropteropus pusillus,,,,LC,,Peter's Dwarf Epauletted Fruit Bat,MAMMALIA,LC
13565,Miniopterus inflatus,,,,LC,,Greater Long-fingered Bat,MAMMALIA,LC
13572,Miopithecus talapoin,,,,VU,,Southern Talapoin Monkey,MAMMALIA,VU
13837,Mops brachypterus,,,,LC,,Sierra Leone Mops Bat,MAMMALIA,LC
13838,Mops condylurus,,,,LC,,Angolan Mops Bat,MAMMALIA,LC
13839,Mops congicus,,,,LC,,Medje Mops Bat,MAMMALIA,LC
13840,Mops demonstrator,,,,LC,,Mongalla Mops Bat,MAMMALIA,LC
13841,Mops midas,,,,LC,,Midas Mops Bat,MAMMALIA,LC
13843,Mops nanulus,,,,LC,,Dwarf Mops Bat,MAMMALIA,LC
13844,Mops niangarae,,,,DD,,Niangara Mops Bat,MAMMALIA,DD
13845,Mops niveiventer,,,,LC,,White-bellied Mops Bat,MAMMALIA,LC
13848,Mops spurrelli,,,,LC,,Spurrell's Mops Bat,MAMMALIA,LC
13849,Mops thersites,,,,LC,,Railer Bat,MAMMALIA,LC
13850,Mops trevori,,,,DD,,Trevor's Mops Bat,MAMMALIA,DD
13955,Mus callewaerti,,,,DD,,Callewaert's Mouse,MAMMALIA,DD
14102,Myopterus daubentonii,,,,DD,,Daubenton's Free-tailed Bat,MAMMALIA,DD
14103,Myopterus whitleyi,,,,LC,,Bini Free-tailed Bat,MAMMALIA,LC
14110,Myosorex schalleri,,,,DD,,Schaller's Mouse Shrew,MAMMALIA,DD
14111,Myosorex blarina,,,,EN,,Montane Mouse Shrew,MAMMALIA,EN
14148,Myotis bocagii,,,,LC,,Bocage's Mouse-eared Bat,MAMMALIA,LC
14603,Neotragus batesi,,,,LC,,Bates' Pygmy Antelope,MAMMALIA,LC
14926,Nycteris arge,,,,LC,,Bate's Slit-faced Bat,MAMMALIA,LC
14931,Nycteris intermedia,,,,LC,,Intermediate Slit-faced Bat,MAMMALIA,LC
14934,Nycteris major,,,,DD,,Dja Slit-faced Bat,MAMMALIA,DD
14936,Nycteris thebaica,,,,LC,,Cape Long-eared Bat,MAMMALIA,LC
15188,Okapia johnstoni,,,,EN,,Okapi,MAMMALIA,EN
15421,Orcinus orca,,,,DD,,Killer Whale,MAMMALIA,DD
15485,Oreotragus oreotragus,,,,LC,,Klipspringer,MAMMALIA,LC
15628,Genetta piscivora,,,,NT,,Aquatic Genet,MAMMALIA,NT
15635,Osteolaemus tetraspis,,,,VU,,African Dwarf Crocodile,REPTILIA,VU
15643,Otolemur crassicaudatus,,,,LC,,Thick-tailed Greater Galago,MAMMALIA,LC
15648,Otomops martiensseni,,,,NT,,Large-eared Free-tailed Bat,MAMMALIA,NT
15660,Otomys tropicalis,,,,LC,,Tropical Vlei Rat,MAMMALIA,LC
15730,Ourebia ourebi,,,,LC,,Oribi,MAMMALIA,LC
15932,Pan paniscus,,,,EN,,Bonobo,MAMMALIA,EN
15933,Pan troglodytes,,,,EN,,Chimpanzee,MAMMALIA,EN
15936,Pan troglodytes ssp. troglodytes,troglodytes,ssp.,,EN,,Central Chimpanzee,MAMMALIA,EN
15937,Pan troglodytes ssp. schweinfurthii,schweinfurthii,ssp.,,EN,,Eastern Chimpanzee,MAMMALIA,EN
15951,Panthera leo,,,,VU,,Lion,MAMMALIA,VU
15954,Panthera pardus,,,,VU,,Leopard,MAMMALIA,VU
16043,Paracrocidura maxima,,,,LC,,Greater Large-headed Shrew,MAMMALIA,LC
16211,Paraxerus poensis,,,,LC,,Green Bush Squirrel,MAMMALIA,LC
16467,Pedetes capensis,,,,LC,,Spring Hare,MAMMALIA,LC
16530,Pelusios rhodesianus,,,,LR/lc,,Variable Hinged Terrapin,REPTILIA,LR/lc
16531,Pelusios upembae,,,,DD,,Upemba Mud Turtle,REPTILIA,DD
17361,Pipistrellus rueppellii,,,,LC,,Rüppel's Pipistrelle,MAMMALIA,LC
17618,Plerotes anchietae,,,,DD,,D'Anchieta's Fruit Bat,MAMMALIA,DD
18095,Potamogale velox,,,,LC,,Giant Otter Shrew,MAMMALIA,LC
18116,Praomys minor,,,,LC,,Least Soft-furred Mouse,MAMMALIA,LC
18119,Praomys mutoni,,,,NT,,Riverine Soft-furred Mouse,MAMMALIA,NT
18252,Piliocolobus foai,,,,EN,,Foa's Red Colobus,MAMMALIA,EN
18255,Piliocolobus oustaleti,,,,VU,,Oustalet’s Red Colobus,MAMMALIA,VU
18257,Piliocolobus tholloni,,,,VU,,Tshuapa Red Colobus,MAMMALIA,VU
18261,Piliocolobus langi,,,,EN,,Lang's Red Colobus,MAMMALIA,EN
18262,Piliocolobus lulindicus,,,,EN,,Ulindi River Red Colobus,MAMMALIA,EN
18306,Caracal aurata,,,,VU,,African Golden Cat,MAMMALIA,VU
18596,Pseudorca crassidens,,,,NT,,False Killer Whale,MAMMALIA,NT
19307,Raphicerus sharpei,,,,LC,,Sharpe's Grysbok,MAMMALIA,LC
19390,Redunca arundinum,,,,LC,,Southern Reedbuck,MAMMALIA,LC
19392,Redunca redunca,,,,LC,,Bohor Reedbuck,MAMMALIA,LC
19515,Rhinolophus blasii,,,,LC,,Blasius's Horseshoe Bat,MAMMALIA,LC
19531,Rhinolophus clivosus,,,,LC,,Geoffroy's Horseshoe Bat,MAMMALIA,LC
19539,Rhinolophus eloquens,,,,LC,,Eloquent Horseshoe Bat,MAMMALIA,LC
19572,Rhinolophus swinnyi,,,,LC,,Swinny's Horseshoe Bat,MAMMALIA,LC
19709,Rhynchocyon cirnei,,,,LC,,Chequered Sengi,MAMMALIA,LC
19790,Ruwenzorisorex suncoides,,,,VU,,Ruwenzori Shrew,MAMMALIA,VU
19801,Saccolaimus peli,,,,LC,,Pel's Pouched Bat,MAMMALIA,LC
20054,Scotoecus albofuscus,,,,DD,,Light-winged Lesser House Bat,MAMMALIA,DD
20055,Scotoecus hirundo,,,,LC,,Dark-winged Lesser House Bat,MAMMALIA,LC
20070,Scotophilus nigrita,,,,LC,,Giant House Bat,MAMMALIA,LC
20730,Stenella clymene,,,,LC,,Clymene Dolphin,MAMMALIA,LC
20731,Stenella coeruleoalba,,,,LC,,Striped Dolphin,MAMMALIA,LC
20738,Steno bredanensis,,,,LC,,Rough-toothed Dolphin,MAMMALIA,LC
21203,Sylvicapra grimmia,,,,LC,,Common Duiker,MAMMALIA,LC
21219,Sylvisorex vulcanorum,,,,LC,,Volcano Shrew,MAMMALIA,LC
21222,Sylvisorex oriundus,,,,DD,,Lesser Forest Shrew,MAMMALIA,DD
21251,Syncerus caffer,,,,NT,,African Buffalo,MAMMALIA,NT
21299,Tachyoryctes splendens,,,,LC,,East African Mole Rat,MAMMALIA,LC
21316,Tadarida fulminans,,,,LC,,Malagasy Free-tailed Bat,MAMMALIA,LC
21318,Tadarida ventralis,,,,DD,,African Giant Free-tailed Bat,MAMMALIA,DD
21460,Taphozous mauritianus,,,,LC,,Mauritian Tomb Bat,MAMMALIA,LC
21462,Taphozous nudiventris,,,,LC,,Naked-rumped Tomb Bat,MAMMALIA,LC
21463,Taphozous perforatus,,,,LC,,Egyptian Tomb Bat,MAMMALIA,LC
21515,Gerbilliscus kempi,,,,LC,,Kemp's Gerbil,MAMMALIA,LC
21702,Thamnomys venustus,,,,LC,,Charming Thicket Rat,MAMMALIA,LC
21703,Thamnomys kempi,,,,VU,,Kemp's Thicket Rat,MAMMALIA,VU
22047,Tragelaphus eurycerus,,,,NT,,Bongo,MAMMALIA,NT
22050,Tragelaphus spekii,,,,LC,,Sitatunga,MAMMALIA,LC
22051,Tragelaphus scriptus,,,,LC,,Bushbuck,MAMMALIA,LC
22054,Tragelaphus strepsiceros,,,,LC,,Greater Kudu,MAMMALIA,LC
22055,Tragelaphus oryx,,,,LC,,Common Eland,MAMMALIA,LC
22058,Tragelaphus eurycerus ssp. eurycerus,eurycerus,ssp.,,NT,,Lowland Bongo,MAMMALIA,NT
22104,Trichechus senegalensis,,,,VU,,African Manatee,MAMMALIA,VU
23144,Xerus erythropus,,,,LC,,Striped Ground Squirrel,MAMMALIA,LC
23211,Ziphius cavirostris,,,,LC,,Cuvier's Beaked Whale,MAMMALIA,LC
29730,Rousettus aegyptiacus,,,,LC,,Egyptian Fruit Bat,MAMMALIA,LC
