scientific_name,subspecies,category,Common Name,Species Class,Threat Class
Acinonyx jubatus,,VU,Cheetah,MAMMALIA,VU
Aethomys hindei,,LC,Hinde's Rock Rat,MAMMALIA,LC
Alcelaphus buselaphus,,LC,Hartebeest,MAMMALIA,LC
Alcelaphus buselaphus ssp. lelwel,lelwel,EN,Lelwel Hartebeest,MAMMALIA,EN
Alcelaphus buselaphus ssp. major,major,VU,Western Hartebeest,MAMMALIA,VU
Allenopithecus nigroviridis,,LC,Allen's Swamp Monkey,MAMMALIA,LC
Anomalurus derbianus,,LC,Lord Derby's Scaly-tailed Squirrel,MAMMALIA,LC
Anomalurus pusillus,,LC,Dwarf Scaly-tailed Squirrel,MAMMALIA,LC
Aonyx congicus,,NT,Congo Clawless Otter,MAMMALIA,NT
Arctocebus aureus,,LC,Golden Angwantibo,MAMMALIA,LC
Arvicanthis niloticus,,LC,African Grass Rat,MAMMALIA,LC
Canis adustus,,LC,Side-striped Jackal,MAMMALIA,LC
Caracal caracal,,LC,Caracal,MAMMALIA,LC
Casinycteris argynnis,,LC,Short-palated Fruit Bat,MAMMALIA,LC
Cephalophus callipygus,,LC,Peters' Duiker,MAMMALIA,LC
Cephalophus dorsalis,,NT,Bay Duiker,MAMMALIA,NT
Cephalophus leucogaster,,NT,White-bellied Duiker,MAMMALIA,NT
Philantomba monticola,,LC,Blue Duiker,MAMMALIA,LC
Cephalophus nigrifrons,,LC,Black-fronted Duiker,MAMMALIA,LC
Cephalophus rufilatus,,LC,Red-flanked Duiker,MAMMALIA,LC
Cephalophus silvicultor,,NT,Yellow-backed Duiker,MAMMALIA,NT
Cephalophus weynsi,,LC,Weyns's Duiker,MAMMALIA,LC
Ceratotherium simum ssp. cottoni,cottoni,CR,Northern White Rhino,MAMMALIA,CR
Ceratotherium simum,,NT,White Rhino,MAMMALIA,NT
Cercopithecus ascanius,,LC,Red-tailed Monkey,MAMMALIA,LC
Cercopithecus cephus,,LC,Moustached Monkey,MAMMALIA,LC
Cercopithecus neglectus,,LC,De Brazza’s Monkey,MAMMALIA,LC
Cercopithecus nictitans,,NT,Putty-nosed Monkey,MAMMALIA,NT
Chaerephon aloysiisabaudiae,,LC,Duke of Abruzzi's Wrinkle-lipped Bat,MAMMALIA,LC
Chaerephon ansorgei,,LC,Ansorge's Wrinkle-lipped Bat,MAMMALIA,LC
Coleura afra,,LC,African Sheath-tailed Bat,MAMMALIA,LC
Colobus guereza,,LC,Guereza,MAMMALIA,LC
Mecistops cataphractus,,CR,Slender-snouted Crocodile,REPTILIA,CR
Crocuta crocuta,,LC,Spotted Hyaena,MAMMALIA,LC
Fukomys ochraceocinereus,,LC,Ochre Mole Rat,MAMMALIA,LC
Cyclanorbis elegans,,CR,Nubian Flapshell Turtle,REPTILIA,CR
Cyclanorbis senegalensis,,VU,Senegal Flapshell Turtle,REPTILIA,VU
Damaliscus lunatus,,LC,Topi,MAMMALIA,LC
Dendrohyrax dorsalis,,LC,Western Tree Hyrax,MAMMALIA,LC
