taxonid,scientific_name,subspecies,rank,subpopulation,category,Common Name,Species Class,Threat Class
219,Acinonyx jubatus,,,,VU,Cheetah,MAMMALIA,VU
571,Aethomys hindei,,,,LC,Hinde's Rock Rat,MAMMALIA,LC
575,Aethomys stannarius,,,,DD,Tinfields Rock Rat,MAMMALIA,DD
811,Alcelaphus buselaphus,,,,LC,Hartebeest,MAMMALIA,LC
817,Alcelaphus buselaphus ssp. major,major,ssp.,,VU,Western Hartebeest,MAMMALIA,VU
1550,Anomalurus derbianus,,,,LC,Lord Derby's Scaly-tailed Squirrel,MAMMALIA,LC
1553,Anomalurus pusillus,,,,LC,Dwarf Scaly-tailed Squirrel,MAMMALIA,LC
1793,Aonyx capensis,,,,NT,African Clawless Otter,MAMMALIA,NT
1794,Aonyx congicus,,,,NT,Congo Clawless Otter,MAMMALIA,NT
2053,Arctocebus aureus,,,,LC,Golden Angwantibo,MAMMALIA,LC
2054,Arctocebus calabarensis,,,,NT,Calabar Angwantibo,MAMMALIA,NT
2353,Atherurus africanus,,,,LC,African Brush-tailed Porcupine,MAMMALIA,LC
2476,Balaenoptera edeni,,,,LC,Bryde's Whale,MAMMALIA,LC
3753,Canis adustus,,,,LC,Side-striped Jackal,MAMMALIA,LC
3847,Caracal caracal,,,,LC,Caracal,MAMMALIA,LC
3999,Casinycteris argynnis,,,,LC,Short-palated Fruit Bat,MAMMALIA,LC
4138,Cephalophus callipygus,,,,LC,Peters' Duiker,MAMMALIA,LC
4139,Cephalophus dorsalis,,,,NT,Bay Duiker,MAMMALIA,NT
4141,Cephalophus leucogaster,,,,NT,White-bellied Duiker,MAMMALIA,NT
4143,Philantomba monticola,,,,LC,Blue Duiker,MAMMALIA,LC
4146,Cephalophus nigrifrons,,,,LC,Black-fronted Duiker,MAMMALIA,LC
4148,Cephalophus ogilbyi,,,,LC,Ogilby's Duiker,MAMMALIA,LC
4149,Cephalophus rufilatus,,,,LC,Red-flanked Duiker,MAMMALIA,LC
4150,Cephalophus silvicultor,,,,NT,Yellow-backed Duiker,MAMMALIA,NT
4201,Cercocebus torquatus,,,,EN,Red-capped Mangabey,MAMMALIA,EN
4214,Cercopithecus cephus,,,,LC,Moustached Monkey,MAMMALIA,LC
4218,Cercopithecus erythrotis,,,,VU,Red-eared Monkey,MAMMALIA,VU
4222,Cercopithecus mona,,,,LC,Mona Monkey,MAMMALIA,LC
4223,Cercopithecus neglectus,,,,LC,De Brazza’s Monkey,MAMMALIA,LC
4224,Cercopithecus nictitans,,,,NT,Putty-nosed Monkey,MAMMALIA,NT
4227,Allochrocebus preussi,,,,EN,Preuss’s Monkey,MAMMALIA,EN
4239,Cercopithecus pogonias ssp. pogonias,pogonias,ssp.,,VU,Golden-bellied Crowned Monkey,MAMMALIA,VU
4244,Allochrocebus preussi ssp. preussi,preussi,ssp.,,EN,Cameroon Preuss’s Monkey,MAMMALIA,EN
4305,Chaerephon aloysiisabaudiae,,,,LC,Duke of Abruzzi's Wrinkle-lipped Bat,MAMMALIA,LC
4306,Chaerephon ansorgei,,,,LC,Ansorge's Wrinkle-lipped Bat,MAMMALIA,LC
4307,Chaerephon bemmeleni,,,,LC,Gland-tailed Wrinkle-lipped Bat,MAMMALIA,LC
4315,Chaerephon nigeriae,,,,LC,Nigerian Free-tailed Bat,MAMMALIA,LC
4319,Chaerephon russatus,,,,DD,Russet Wrinkle-lipped Bat,MAMMALIA,DD
5143,Colobus guereza,,,,LC,Guereza,MAMMALIA,LC
5145,Colobus satanas,,,,VU,Black Colobus,MAMMALIA,VU
5263,Conraua goliath,,,,EN,Giant Slippery Frog,AMPHIBIA,EN
5565,Crocidura eisentrauti,,,,VU,Eisentraut's Shrew,MAMMALIA,VU
5575,Crocidura manengubae,,,,VU,Manenguba Shrew,MAMMALIA,VU
5636,Crocidura picea,,,,EN,Cameroon Shrew,MAMMALIA,EN
5660,Mecistops cataphractus,,,,CR,Slender-snouted Crocodile,REPTILIA,CR
5674,Crocuta crocuta,,,,LC,Spotted Hyaena,MAMMALIA,LC
5754,Fukomys foxi,,,,DD,Nigerian Mole Rat,MAMMALIA,DD
6004,Cyclanorbis elegans,,,,CR,Nubian Flapshell Turtle,REPTILIA,CR
6005,Cyclanorbis senegalensis,,,,VU,Senegal Flapshell Turtle,REPTILIA,VU
6235,Damaliscus lunatus,,,,LC,Topi,MAMMALIA,LC
6238,Damaliscus lunatus ssp. korrigum,korrigum,ssp.,,EN,Korrigum,MAMMALIA,EN
6410,Dendrohyrax dorsalis,,,,LC,Western Tree Hyrax,MAMMALIA,LC
6448,Dendromus oreas,,,,LC,Cameroon Climbing Mouse,MAMMALIA,LC
6494,Dermochelys coriacea,,,,VU,Leatherback,REPTILIA,VU
6557,Diceros bicornis,,,,CR,Black Rhino,MAMMALIA,CR
7084,Eidolon helvum,,,,NT,African Straw-coloured Fruit-bat,MAMMALIA,NT
7899,Epixerus ebii,,,,LC,Western Palm Squirrel,MAMMALIA,LC
7903,Epomophorus gambianus,,,,LC,Gambian Epauletted Fruit Bat,MAMMALIA,LC
8073,Erythrocebus patas,,,,LC,Patas Monkey,MAMMALIA,LC
8265,Euoticus elegantulus,,,,LC,Southern Needle-clawed Galago,MAMMALIA,LC
8266,Euoticus pallidus,,,,LC,Northern Needle-clawed Galago,MAMMALIA,LC
8551,Feresa attenuata,,,,LC,Pygmy Killer Whale,MAMMALIA,LC
8785,Sciurocheirus alleni,,,,LC,Allen's Galago,MAMMALIA,LC
8789,Galago senegalensis,,,,LC,Northern Lesser Galago,MAMMALIA,LC
8973,Eudorcas rufifrons,,,,VU,Red-fronted Gazelle,MAMMALIA,VU
8998,Genetta cristata,,,,VU,Crested Genet,MAMMALIA,VU
9194,Giraffa camelopardalis,,,,VU,Giraffe,MAMMALIA,VU
9249,Globicephala macrorhynchus,,,,LC,Short-finned Pilot Whale,MAMMALIA,LC
9404,Gorilla gorilla,,,,CR,Western Gorilla,MAMMALIA,CR
9406,Gorilla gorilla ssp. gorilla,gorilla,ssp.,,CR,Western Lowland Gorilla,MAMMALIA,CR
9481,Graphiurus crassicaudatus,,,,DD,Jentink's Dormouse,MAMMALIA,DD
9483,Graphiurus kelleni,,,,LC,Kellen's Dormouse,MAMMALIA,LC
9493,Graphiurus surdus,,,,DD,Silent Dormouse,MAMMALIA,DD
9830,Heliosciurus gambianus,,,,LC,Gambian Sun Squirrel,MAMMALIA,LC
9833,Heliosciurus rufobrachium,,,,LC,Red-legged Sun Squirrel,MAMMALIA,LC
10103,Hippopotamus amphibius,,,,VU,Hippopotamus,MAMMALIA,VU
10109,Hipposideros abae,,,,LC,Aba Roundleaf Bat,MAMMALIA,LC
10112,Hipposideros beatus,,,,LC,Benito Roundleaf Bat,MAMMALIA,LC
10115,Hipposideros caffer,,,,LC,Sundevall's Roundleaf Bat,MAMMALIA,LC
10117,Hipposideros camerunensis,,,,DD,Greater Roundleaf Bat,MAMMALIA,DD
10125,Hipposideros curtus,,,,VU,Short-tailed Roundleaf Bat,MAMMALIA,VU
10126,Hipposideros cyclops,,,,LC,Cyclops Roundleaf Bat,MAMMALIA,LC
10134,Hipposideros fuliginosus,,,,LC,Sooty Roundleaf Bat,MAMMALIA,LC
10157,Hipposideros ruber,,,,LC,Noack's Roundleaf Bat,MAMMALIA,LC
10167,Hippotragus equinus,,,,LC,Roan Antelope,MAMMALIA,LC
10274,Hyaena hyaena,,,,NT,Striped Hyaena,MAMMALIA,NT
10341,Hyemoschus aquaticus,,,,LC,Water Chevrotain,MAMMALIA,LC
10592,Hylomyscus parvus,,,,LC,Little Wood Mouse,MAMMALIA,LC
10593,Hylomyscus aeta,,,,LC,Beaded Wood Mouse,MAMMALIA,LC
10734,Hypsignathus monstrosus,,,,LC,Hammer-headed Fruit Bat,MAMMALIA,LC
10746,Hystrix cristata,,,,LC,Crested Porcupine,MAMMALIA,LC
10794,Idiurus macrotis,,,,LC,Long-eared Scaly-tailed Flying Squirrel,MAMMALIA,LC
10796,Idiurus zenkeri,,,,LC,Pygmy Scaly-tailed Flying Squirrel,MAMMALIA,LC
11003,Kinixys homeana,,,,VU,Home's Hinge-back Tortoise,REPTILIA,VU
11035,Kobus ellipsiprymnus,,,,LC,Waterbuck,MAMMALIA,LC
11036,Kobus kob,,,,LC,Kob,MAMMALIA,LC
11040,Kobus ellipsiprymnus ssp. defassa,defassa,ssp.,,NT,Defassa Waterbuck,MAMMALIA,NT
11047,Kogia breviceps,,,,DD,Pygmy Sperm Whale,MAMMALIA,DD
11048,Kogia sima,,,,DD,Dwarf Sperm Whale,MAMMALIA,DD
11202,Lamottemys okuensis,,,,EN,Mount Oku Rat,MAMMALIA,EN
11378,Lavia frons,,,,LC,Yellow-winged Bat,MAMMALIA,LC
11486,Lemniscomys mittendorfi,,,,LC,Mittendorf's Striped Grass Mouse,MAMMALIA,LC
11534,Lepidochelys olivacea,,,,VU,Olive Ridley,REPTILIA,VU
11638,Leptailurus serval,,,,LC,Serval,MAMMALIA,LC
12309,Lophocebus albigena,,,,VU,Grey-cheeked Mangabey,MAMMALIA,VU
12356,Lophuromys sikapusi,,,,LC,Rusty-bellied Brush-furred Rat,MAMMALIA,LC
12392,Loxodonta africana,,,,VU,African Elephant,MAMMALIA,VU
12420,Hydrictis maculicollis,,,,NT,Spotted-necked Otter,MAMMALIA,NT
12436,Lycaon pictus,,,,EN,African Wild Dog,MAMMALIA,EN
12704,Malacomys longipes,,,,LC,Big-eared Swamp Rat,MAMMALIA,LC
12753,Mandrillus leucophaeus,,,,EN,Drill,MAMMALIA,EN
12754,Mandrillus sphinx,,,,VU,Mandrill,MAMMALIA,VU
12762,Smutsia gigantea,,,,EN,Giant Ground Pangolin,MAMMALIA,EN
12766,Phataginus tetradactyla,,,,VU,Black-bellied Pangolin,MAMMALIA,VU
12767,Phataginus tricuspis,,,,EN,White-bellied Pangolin,MAMMALIA,EN
12866,Mastomys erythroleucus,,,,LC,Guinea Multimammate Mouse,MAMMALIA,LC
13006,Megaptera novaeangliae,,,,LC,Humpback Whale,MAMMALIA,LC
13244,Mesoplodon densirostris,,,,DD,Blainville's Beaked Whale,MAMMALIA,DD
13402,Micropteropus pusillus,,,,LC,Peter's Dwarf Epauletted Fruit Bat,MAMMALIA,LC
13565,Miniopterus inflatus,,,,LC,Greater Long-fingered Bat,MAMMALIA,LC
13837,Mops brachypterus,,,,LC,Sierra Leone Mops Bat,MAMMALIA,LC
13838,Mops condylurus,,,,LC,Angolan Mops Bat,MAMMALIA,LC
13839,Mops congicus,,,,LC,Medje Mops Bat,MAMMALIA,LC
13840,Mops demonstrator,,,,LC,Mongalla Mops Bat,MAMMALIA,LC
13841,Mops midas,,,,LC,Midas Mops Bat,MAMMALIA,LC
13843,Mops nanulus,,,,LC,Dwarf Mops Bat,MAMMALIA,LC
13846,Mops petersoni,,,,NT,Peterson's Mops Bat,MAMMALIA,NT
13848,Mops spurrelli,,,,LC,Spurrell's Mops Bat,MAMMALIA,LC
13849,Mops thersites,,,,LC,Railer Bat,MAMMALIA,LC
14103,Myopterus whitleyi,,,,LC,Bini Free-tailed Bat,MAMMALIA,LC
14112,Myosorex okuensis,,,,VU,Oku Mouse Shrew,MAMMALIA,VU
14113,Myosorex rumpii,,,,EN,Rumpi Mouse Shrew,MAMMALIA,EN
14148,Myotis bocagii,,,,LC,Bocage's Mouse-eared Bat,MAMMALIA,LC
14603,Neotragus batesi,,,,LC,Bates' Pygmy Antelope,MAMMALIA,LC
14926,Nycteris arge,,,,LC,Bate's Slit-faced Bat,MAMMALIA,LC
14931,Nycteris intermedia,,,,LC,Intermediate Slit-faced Bat,MAMMALIA,LC
14934,Nycteris major,,,,DD,Dja Slit-faced Bat,MAMMALIA,DD
14936,Nycteris thebaica,,,,LC,Cape Long-eared Bat,MAMMALIA,LC
15421,Orcinus orca,,,,DD,Killer Whale,MAMMALIA,DD
15635,Osteolaemus tetraspis,,,,VU,African Dwarf Crocodile,REPTILIA,VU
15730,Ourebia ourebi,,,,LC,Oribi,MAMMALIA,LC
15933,Pan troglodytes,,,,EN,Chimpanzee,MAMMALIA,EN
15936,Pan troglodytes ssp. troglodytes,troglodytes,ssp.,,EN,Central Chimpanzee,MAMMALIA,EN
15951,Panthera leo,,,,VU,Lion,MAMMALIA,VU
15954,Panthera pardus,,,,VU,Leopard,MAMMALIA,VU
16211,Paraxerus poensis,,,,LC,Green Bush Squirrel,MAMMALIA,LC
16564,Peponocephala electra,,,,LC,Melon-headed Whale,MAMMALIA,LC
17361,Pipistrellus rueppellii,,,,LC,Rüppel's Pipistrelle,MAMMALIA,LC
17362,Pipistrellus rusticus,,,,LC,Rusty Bat,MAMMALIA,LC
18095,Potamogale velox,,,,LC,Giant Otter Shrew,MAMMALIA,LC
18113,Praomys hartwigi,,,,VU,Hartwig's Soft-furred Mouse,MAMMALIA,VU
18118,Praomys morio,,,,EN,Cameroon Soft-furred Mouse,MAMMALIA,EN
18164,Prionomys batesi,,,,DD,Dollman's Tree Mouse,MAMMALIA,DD
18306,Caracal aurata,,,,VU,African Golden Cat,MAMMALIA,VU
18596,Pseudorca crassidens,,,,NT,False Killer Whale,MAMMALIA,NT
19389,Redunca fulvorufula ssp. adamauae,adamauae,ssp.,,EN,Western Mountain Reedbuck,MAMMALIA,EN
19391,Redunca fulvorufula,,,,EN,Mountain Reedbuck,MAMMALIA,EN
19392,Redunca redunca,,,,LC,Bohor Reedbuck,MAMMALIA,LC
19531,Rhinolophus clivosus,,,,LC,Geoffroy's Horseshoe Bat,MAMMALIA,LC
19801,Saccolaimus peli,,,,LC,Pel's Pouched Bat,MAMMALIA,LC
20055,Scotoecus hirundo,,,,LC,Dark-winged Lesser House Bat,MAMMALIA,LC
20059,Scotonycteris ophiodon,,,,NT,Pohle's Fruit Bat,MAMMALIA,NT
20069,Scotophilus leucogaster,,,,LC,White-bellied Yellow Bat,MAMMALIA,LC
20425,Sousa teuszii,,,,CR,Atlantic Humpback Dolphin,MAMMALIA,CR
20730,Stenella clymene,,,,LC,Clymene Dolphin,MAMMALIA,LC
20731,Stenella coeruleoalba,,,,LC,Striped Dolphin,MAMMALIA,LC
20738,Steno bredanensis,,,,LC,Rough-toothed Dolphin,MAMMALIA,LC
21203,Sylvicapra grimmia,,,,LC,Common Duiker,MAMMALIA,LC
21221,Sylvisorex morio,,,,EN,Arrogant Shrew,MAMMALIA,EN
21251,Syncerus caffer,,,,NT,African Buffalo,MAMMALIA,NT
21460,Taphozous mauritianus,,,,LC,Mauritian Tomb Bat,MAMMALIA,LC
21515,Gerbilliscus kempi,,,,LC,Kemp's Gerbil,MAMMALIA,LC
21526,Taterillus lacustris,,,,LC,Lake Chad Gerbil,MAMMALIA,LC
22047,Tragelaphus eurycerus,,,,NT,Bongo,MAMMALIA,NT
22050,Tragelaphus spekii,,,,LC,Sitatunga,MAMMALIA,LC
22051,Tragelaphus scriptus,,,,LC,Bushbuck,MAMMALIA,LC
22058,Tragelaphus eurycerus ssp. eurycerus,eurycerus,ssp.,,NT,Lowland Bongo,MAMMALIA,NT
22059,Tragelaphus derbianus ssp. gigas,gigas,ssp.,,VU,Eastern Giant Eland,MAMMALIA,VU
22104,Trichechus senegalensis,,,,VU,African Manatee,MAMMALIA,VU
22563,Tursiops truncatus,,,,LC,Common Bottlenose Dolphin,MAMMALIA,LC
23052,Vulpes pallida,,,,LC,Pale Fox,MAMMALIA,LC
23144,Xerus erythropus,,,,LC,Striped Ground Squirrel,MAMMALIA,LC
23204,Zenkerella insignis,,,,LC,Cameroon Scaly-tail,MAMMALIA,LC
23211,Ziphius cavirostris,,,,LC,Cuvier's Beaked Whale,MAMMALIA,LC
29730,Rousettus aegyptiacus,,,,LC,Egyptian Fruit Bat,MAMMALIA,LC
39319,Diceros bicornis ssp. longipes,longipes,ssp.,,EX,Western Black Rhino,MAMMALIA,EX
39998,Gorilla gorilla ssp. diehli,diehli,ssp.,,CR,Cross River Gorilla,MAMMALIA,CR
40014,Pan troglodytes ssp. ellioti,ellioti,ssp.,,EN,Nigeria-Cameroon Chimpanzee,MAMMALIA,EN
40597,Huetia leucorhina,,,,DD,Congo Golden Mole,MAMMALIA,DD
40601,Chrysochloris stuhlmanni,,,,LC,Stuhlmann's Golden Mole,MAMMALIA,LC
40602,Atelerix albiventris,,,,LC,Four-toed Hedgehog,MAMMALIA,LC
40647,Papio anubis,,,,LC,Olive Baboon,MAMMALIA,LC
40649,Galagoides demidoff,,,,LC,Demidoff's Dwarf Galago,MAMMALIA,LC
40653,Galagoides thomasi,,,,LC,Thomas's Dwarf Galago,MAMMALIA,LC
41026,Piliocolobus preussi,,,,CR,Preuss’s Red Colobus,MAMMALIA,CR
41348,Crocidura olivieri,,,,LC,Olivier's Shrew,MAMMALIA,LC
41504,Orycteropus afer,,,,LC,Aardvark,MAMMALIA,LC
41533,Nycticeinops schlieffeni,,,,LC,Schlieffen's Bat,MAMMALIA,LC
41570,Miopithecus ogouensis,,,,NT,Northern Talapoin Monkey,MAMMALIA,NT
41589,Nandinia binotata,,,,LC,African Palm Civet,MAMMALIA,LC
41590,Atilax paludinosus,,,,LC,Marsh Mongoose,MAMMALIA,LC
41592,Bdeogale nigripes,,,,LC,Black-legged Mongoose,MAMMALIA,LC
41596,Crossarchus platycephalus,,,,LC,Flat-headed Cusimanse,MAMMALIA,LC
41602,Pelusios subniger,,,,LR/lc,Black-bellied Hinged Terrapin,REPTILIA,LR/lc
41606,Herpestes sanguineus,,,,LC,Common Slender Mongoose,MAMMALIA,LC
41613,Herpestes ichneumon,,,,LC,Egyptian Mongoose,MAMMALIA,LC
41615,Herpestes naso,,,,LC,Long-nosed Mongoose,MAMMALIA,LC
41620,Ichneumia albicauda,,,,LC,White-tailed Mongoose,MAMMALIA,LC
41621,Mungos mungo,,,,LC,Banded Mongoose,MAMMALIA,LC
41629,Mellivora capensis,,,,LC,Honey Badger,MAMMALIA,LC
41646,Ictonyx striatus,,,,LC,Zorilla,MAMMALIA,LC
41695,Civettictis civetta,,,,LC,African Civet,MAMMALIA,LC
41698,Genetta genetta,,,,LC,Common Genet,MAMMALIA,LC
41699,Genetta maculata,,,,LC,Large-spotted Genet,MAMMALIA,LC
41700,Genetta servalina,,,,LC,Servaline Genet,MAMMALIA,LC
41701,Genetta thierryi,,,,LC,Hausa Genet,MAMMALIA,LC
41704,Poiana richardsonii,,,,LC,Central African Oyan,MAMMALIA,LC
41755,Physeter macrocephalus,,,,VU,Sperm Whale,MAMMALIA,VU
41766,Procavia capensis,,,,LC,Rock Hyrax,MAMMALIA,LC
41768,Phacochoerus africanus,,,,LC,Common Warthog,MAMMALIA,LC
41769,Hylochoerus meinertzhageni,,,,LC,Forest Hog,MAMMALIA,LC
41771,Potamochoerus porcus,,,,LC,Red River Hog,MAMMALIA,LC
41879,Lepus victoriae,,,,LC,African Savanna Hare,MAMMALIA,LC
44172,Tragelaphus derbianus,,,,VU,Giant Eland,MAMMALIA,VU
44687,Hipposideros gigas,,,,LC,Giant Leaf-nosed Bat,MAMMALIA,LC
44695,Nycteris parisii,,,,DD,Parisi's Slit-faced Bat,MAMMALIA,DD
44782,Rhinolophus hillorum,,,,NT,Upland Horseshoe Bat,MAMMALIA,NT
44857,Anomalurus beecrofti,,,,LC,Beecroft's Scaly-tailed Squirrel,MAMMALIA,LC
44917,Neoromicia brunnea,,,,NT,Dark-brown Serotine,MAMMALIA,NT
