taxonid,scientific_name,subspecies,rank,subpopulation,category,Common Name,Species Class,Threat Class
550,Aepyceros melampus,,,,LC,Impala,MAMMALIA,LC
1550,Anomalurus derbianus,,,,LC,Lord Derby's Scaly-tailed Squirrel,MAMMALIA,LC
1553,Anomalurus pusillus,,,,LC,Dwarf Scaly-tailed Squirrel,MAMMALIA,LC
1794,Aonyx congicus,,,,NT,Congo Clawless Otter,MAMMALIA,NT
2053,Arctocebus aureus,,,,LC,Golden Angwantibo,MAMMALIA,LC
2060,Arctocephalus pusillus,,,,LC,Afro-Australian Fur Seal,MAMMALIA,LC
2066,Arctocephalus pusillus ssp. pusillus,pusillus,ssp.,,LC,Cape Fur Seal,MAMMALIA,LC
2353,Atherurus africanus,,,,LC,African Brush-tailed Porcupine,MAMMALIA,LC
2476,Balaenoptera edeni,,,,LC,Bryde's Whale,MAMMALIA,LC
3753,Canis adustus,,,,LC,Side-striped Jackal,MAMMALIA,LC
4138,Cephalophus callipygus,,,,LC,Peters' Duiker,MAMMALIA,LC
4139,Cephalophus dorsalis,,,,NT,Bay Duiker,MAMMALIA,NT
4141,Cephalophus leucogaster,,,,NT,White-bellied Duiker,MAMMALIA,NT
4143,Philantomba monticola,,,,LC,Blue Duiker,MAMMALIA,LC
4146,Cephalophus nigrifrons,,,,LC,Black-fronted Duiker,MAMMALIA,LC
4148,Cephalophus ogilbyi,,,,LC,Ogilby's Duiker,MAMMALIA,LC
4150,Cephalophus silvicultor,,,,NT,Yellow-backed Duiker,MAMMALIA,NT
4155,Cephalophus ogilbyi ssp. crusalbum,crusalbum,ssp.,,NT,White-legged Duiker,MAMMALIA,NT
4201,Cercocebus torquatus,,,,EN,Red-capped Mangabey,MAMMALIA,EN
4214,Cercopithecus cephus,,,,LC,Moustached Monkey,MAMMALIA,LC
4223,Cercopithecus neglectus,,,,LC,De Brazza’s Monkey,MAMMALIA,LC
4224,Cercopithecus nictitans,,,,NT,Putty-nosed Monkey,MAMMALIA,NT
4230,Allochrocebus solatus,,,,NT,Sun-tailed Monkey,MAMMALIA,NT
4305,Chaerephon aloysiisabaudiae,,,,LC,Duke of Abruzzi's Wrinkle-lipped Bat,MAMMALIA,LC
5143,Colobus guereza,,,,LC,Guereza,MAMMALIA,LC
5145,Colobus satanas,,,,VU,Black Colobus,MAMMALIA,VU
5660,Mecistops cataphractus,,,,CR,Slender-snouted Crocodile,REPTILIA,CR
5674,Crocuta crocuta,,,,LC,Spotted Hyaena,MAMMALIA,LC
6336,Delphinus delphis,,,,LC,Short-beaked Common Dolphin,MAMMALIA,LC
